Area Codes,All Ages
E01008399,"1,949"
E01008439,"1,863"
E01033543,"1,892"
E01033545,"1,526"
E01033554,"2,832"
E01008415,"1,278"
E01008416,"1,637"
E01033547,"2,089"
E01008301,"1,732"
E01008302,"1,643"
E01008304,"1,998"
E01008305,"2,427"
E01008391,"1,481"
E01008392,"1,511"
E01008432,"1,385"
E01008288,"1,326"
E01008289,"1,583"
E01008290,"1,398"
E01008291,"2,220"
E01008292,"1,375"
E01008388,"1,783"
E01008389,"1,709"
E01008426,"1,614"
E01008429,"1,472"
E01008331,"1,824"
E01008332,"2,574"
E01008333,"1,817"
E01008334,"2,213"
E01008335,"2,221"
E01008437,"1,223"
E01008438,"1,836"
E01008390,"1,970"
E01008425,"1,738"
E01008427,"1,076"
E01008428,"1,312"
E01008441,"1,690"
E01008442,"1,345"
E01008444,"1,506"
E01008445,"1,936"
E01008446,"1,395"
E01008447,"1,255"
E01008448,"1,408"
E08000022,"202,494"
E01008547,"1,406"
E01008548,"1,350"
E01008549,"1,521"
E01008551,"1,476"
E01008478,"1,532"
E01008480,"1,496"
E01008504,"1,555"
E01008578,"1,392"
E01008583,"1,441"
E01008520,"1,349"
E01008523,"1,288"
E01008546,"1,501"
E01008550,"1,648"
E01008577,"1,448"
E01008579,"1,459"
E01008580,"1,327"
E01008581,"1,633"
E01008582,"1,370"
E01008517,"1,598"
